m0nth,category_unified__cate1_name,article_imp_pv,article_clck_pv
Aug,NULL,284219044,11916429
Aug,,36614080,2725412
Aug,体育,44128369,4064875
Aug,健康,18018238,1453540
Aug,其他,2585312,8806
Aug,军事,167724998,13433470
Aug,农业,16593428,638680
Aug,动漫,1575438,64694
Aug,动物,25958453,1972735
Aug,历史,29919064,2073872
Aug,国际,90652501,8995425
Aug,娱乐,63340052,7040795
Aug,小众才艺,68238,1268
Aug,情感,20390334,5874301
Aug,房产,11479026,1644872
Aug,搞笑,17534874,788358
Aug,摄影,5269158,81607
Aug,教育,27132088,2129769
Aug,数码,4659512,718720
Aug,文化,22410218,1212062
Aug,旅游,11263308,725456
Aug,时尚,4700271,483278
Aug,时政,162684302,9573486
Aug,汽车,13941770,1038047
Aug,游戏,4806146,192222
Aug,生活,25742748,2666357
Aug,电影,20406971,321968
Aug,电视剧,35461196,586821
Aug,社会,139981985,18166451
Aug,科学,7375312,760243
Aug,科技,30964920,1305795
Aug,纪录片,12057671,534435
Aug,综艺,20052900,733665
Aug,美食,16165572,1133710
Aug,育儿,19598154,1693040
Aug,财经,45149434,3067477
Aug,音乐,6750765,597418
Aug,颜值,462102,11709
July,NULL,68853549,2408978
July,,7971102,461897
July,20949839,3,0
July,体育,8534480,994180
July,健康,4798367,641130
July,其他,743788,4310
July,军事,17349228,1151203
July,农业,4605458,186172
July,动漫,294667,9862
July,动物,6088020,514181
July,历史,6508336,442312
July,国际,21751881,2404702
July,娱乐,22291895,2858918
July,小众才艺,9684,162
July,情感,5057899,1397723
July,房产,2542726,448672
July,搞笑,5960154,140830
July,摄影,1329521,33039
July,教育,8402574,637965
July,数码,754567,166987
July,文化,6350717,434224
July,旅游,3658400,138346
July,时尚,759408,80522
July,时政,30662963,1070803
July,汽车,3922113,517586
July,游戏,946089,34791
July,生活,6954824,756680
July,电影,5658787,109154
July,电视剧,10974223,185211
July,社会,40245769,6299448
July,科学,2127204,251033
July,科技,7479213,319445
July,纪录片,2628864,238353
July,综艺,4583861,238560
July,美食,3600623,332573
July,育儿,5626045,698919
July,财经,11951212,965128
July,音乐,1525538,156191
July,颜值,157493,12256
